minute,match_id,match_date,kick_off,home_score,away_score,match_week,player_id,player_name,X,Y,team_id,team_name,competition_id,competition_name,season_id,season_name,home_team_id,home_team_name,away_team_id,away_team_name,competition_stage_name,stadium_name,statsbomb_xg,end_location,technique_name,outcome_name,type_name,body_part_name,Goal,theta,distance,my_xg
1,22912,2019-06-01,21:00:00.000,0,2,13,3531,Mohamed Salah,108.2,40.1,24,Liverpool,16,Champions League,4,2018/2019,38,Tottenham Hotspur,24,Liverpool,Final,,0.76,"[120.0, 42.5, 0.9]",Normal,Goal,Penalty,Left Foot,True,0.6536141368568564,11.800423721205943,0.18189739764037646
9,22912,2019-06-01,21:00:00.000,0,2,13,3091,Moussa Sissoko,91.9,43.1,38,Tottenham Hotspur,16,Champions League,4,2018/2019,38,Tottenham Hotspur,24,Liverpool,Final,,0.01876838,"[120.0, 46.5, 5.2]",Normal,Off T,Open Play,Right Foot,False,0.2795066427450571,28.27047930262237,0.0776174465723175
16,22912,2019-06-01,21:00:00.000,0,2,13,3664,Trent Alexander-Arnold,90.2,59.3,24,Liverpool,16,Champions League,4,2018/2019,38,Tottenham Hotspur,24,Liverpool,Final,,0.011493988,"[120.0, 34.7, 0.8]",Normal,Off T,Open Play,Right Foot,False,0.1892654815165025,35.50394344294729,0.06241276601417799
20,22912,2019-06-01,21:00:00.000,0,2,13,3531,Mohamed Salah,95.2,47.2,24,Liverpool,16,Champions League,4,2018/2019,38,Tottenham Hotspur,24,Liverpool,Final,,0.03793115,"[99.7, 46.2]",Normal,Blocked,Open Play,Left Foot,False,0.2958711802179717,25.824019826510355,0.08071540912271712
21,22912,2019-06-01,21:00:00.000,0,2,13,3531,Mohamed Salah,113.0,59.5,24,Liverpool,16,Champions League,4,2018/2019,38,Tottenham Hotspur,24,Liverpool,Final,,0.00983486,"[113.2, 0.1]",Normal,Wayward,Open Play,Left Foot,False,0.1346907359423784,20.71834935510066,0.05461518177161228
37,22912,2019-06-01,21:00:00.000,0,2,13,3655,Andrew Robertson,98.4,20.4,24,Liverpool,16,Champions League,4,2018/2019,38,Tottenham Hotspur,24,Liverpool,Final,,0.014247056,"[118.3, 37.9, 2.4]",Normal,Saved,Open Play,Left Foot,False,0.204132067553872,29.167104758614624,0.06471073000109888
38,22912,2019-06-01,21:00:00.000,0,2,13,3531,Mohamed Salah,97.6,37.4,24,Liverpool,16,Champions League,4,2018/2019,38,Tottenham Hotspur,24,Liverpool,Final,,0.018582786,"[120.0, 43.3, 6.4]",Volley,Off T,Open Play,Right Foot,False,0.3489535769535517,22.55038802326914,0.09155437766700174
41,22912,2019-06-01,21:00:00.000,0,2,13,3532,Jordan Brian Henderson,89.0,47.9,24,Liverpool,16,Champions League,4,2018/2019,38,Tottenham Hotspur,24,Liverpool,Final,,0.014790367,"[96.1, 46.2]",Normal,Blocked,Open Play,Right Foot,False,0.2413762250211463,31.990779921721195,0.07081748729937636
41,22912,2019-06-01,21:00:00.000,0,2,13,3531,Mohamed Salah,94.0,31.3,24,Liverpool,16,Champions League,4,2018/2019,38,Tottenham Hotspur,24,Liverpool,Final,,0.009469723,"[97.2, 32.8]",Half Volley,Blocked,Open Play,Left Foot,False,0.2755363764660949,27.41696555054917,0.07688242492408588
45,22912,2019-06-01,21:00:00.000,0,2,13,3043,Christian Dannemann Eriksen,96.1,41.6,38,Tottenham Hotspur,16,Champions League,4,2018/2019,38,Tottenham Hotspur,24,Liverpool,Final,,0.05087029,"[120.0, 37.2, 6.0]",Normal,Off T,Open Play,Left Foot,False,0.3302405167239485,23.953496613229568,0.08759156375792361
52,22912,2019-06-01,21:00:00.000,0,2,13,3247,Fábio Henrique Tavares,88.6,39.0,24,Liverpool,16,Champions League,4,2018/2019,38,Tottenham Hotspur,24,Liverpool,Final,,0.015496306,"[91.5, 38.9]",Normal,Blocked,Open Play,Right Foot,False,0.2531621981282816,31.41591953134589,0.07285836620544017
53,22912,2019-06-01,21:00:00.000,0,2,13,3531,Mohamed Salah,110.2,52.7,24,Liverpool,16,Champions League,4,2018/2019,38,Tottenham Hotspur,24,Liverpool,Final,,0.06709672,"[111.1, 51.3]",Normal,Blocked,Open Play,Left Foot,False,0.3141110265539121,16.041508657230466,0.0843009857542853
53,22912,2019-06-01,21:00:00.000,0,2,13,3094,Bamidele Alli,110.8,49.4,38,Tottenham Hotspur,16,Champions League,4,2018/2019,38,Tottenham Hotspur,24,Liverpool,Final,,0.1307719,"[111.7, 48.2]",Normal,Blocked,Open Play,Right Foot,False,0.4383691969336645,13.152946437965907,0.1127880130756889
56,22912,2019-06-01,21:00:00.000,0,2,13,3594,Danny Rose,101.6,25.6,38,Tottenham Hotspur,16,Champions League,4,2018/2019,38,Tottenham Hotspur,24,Liverpool,Final,,0.020670831,"[103.3, 26.6]",Half Volley,Blocked,Open Play,Left Foot,False,0.2709468503384204,23.36493098641638,0.07604071338318177
